cap_no,name,ground_year
1,Gazi Ashraf,"Bangladesh v Pakistan at Moratuwa, 1985/86"
2,Gholam Nousher,"Bangladesh v Pakistan at Moratuwa, 1985/86"
3,Golam Faruq,"Bangladesh v Pakistan at Moratuwa, 1985/86"
4,Hafizur Rahman,"Bangladesh v Pakistan at Moratuwa, 1985/86"
5,Jahangir Shah,"Bangladesh v Pakistan at Moratuwa, 1985/86"
6,Minhajul Abedin,"Bangladesh v Pakistan at Moratuwa, 1985/86"
7,Nurul Abedin,"Bangladesh v Pakistan at Moratuwa, 1985/86"
8,Rafiqul Alam,"Bangladesh v Pakistan at Moratuwa, 1985/86"
9,Raqibul Hasan,"Bangladesh v Pakistan at Moratuwa, 1985/86"
10,Samiur Rahman,"Bangladesh v Pakistan at Moratuwa, 1985/86"
11,Shaheedur Rahman,"Bangladesh v Pakistan at Moratuwa, 1985/86"
12,Aminul Islam,"Bangladesh v India at Chittagong, 1988/89"
13,Athar Ali Khan,"Bangladesh v India at Chittagong, 1988/89"
14,Azhar Hossain,"Bangladesh v India at Chittagong, 1988/89"
15,Harunur Rashid,"Bangladesh v India at Chittagong, 1988/89"
16,Nasir Ahmed,"Bangladesh v India at Chittagong, 1988/89"
17,Zahid Razzak,"Bangladesh v India at Chittagong, 1988/89"
18,Akram Khan,"Bangladesh v Pakistan at Chittagong, 1988/89"
19,Faruk Ahmed,"Bangladesh v Pakistan at Chittagong, 1988/89"
20,Wahidul Gani,"Bangladesh v Pakistan at Chittagong, 1988/89"
21,Enamul Haque,"Bangladesh v New Zealand at Sharjah, 1990"
22,Jahangir Alam Talukdar,"Australia v Bangladesh at Sharjah, 1990"
23,Saiful Islam,"Bangladesh v Sri Lanka at Kolkata, 1990/91"
24,Anisur Rahman,"Bangladesh v India at Sharjah, 1994/95"
25,Javed Omar,"Bangladesh v India at Sharjah, 1994/95"
26,Khaled Mashud,"Bangladesh v India at Sharjah, 1994/95"
27,Mohammad Rafique,"Bangladesh v India at Sharjah, 1994/95"
28,Sajjad Ahmed,"Bangladesh v India at Sharjah, 1994/95"
29,Habibul Bashar,"Bangladesh v Sri Lanka at Sharjah, 1994/95"
30,Hasibul Hossain,"Bangladesh v Sri Lanka at Sharjah, 1994/95"
31,Naimur Rahman,"Bangladesh v Pakistan at Sharjah, 1994/95"
32,Sheikh Salahuddin,"Bangladesh v Pakistan at Colombo (RPS), 1997"
33,Mafizur Rahman,"Sri Lanka v Bangladesh at Colombo (SSC), 1997"
34,Zakir Hasan,"Bangladesh v India at Colombo (SSC), 1997"
35,Jahangir Alam,"Kenya v Bangladesh at Nairobi (Gym), 1997/98"
36,Shahriar Hossain,"Kenya v Bangladesh at Nairobi (Gym), 1997/98"
37,Shafiuddin Ahmed,"Bangladesh v Zimbabwe at Nairobi (Gym), 1997/98"
38,Khaled Mahmud,"Bangladesh v India at Dhaka, 1997/98"
39,Sanwar Hossain,"Bangladesh v India at Dhaka, 1997/98"
40,Shariful Haque,"Bangladesh v India at Dhaka, 1997/98"
41,Zakir Hossain,"Bangladesh v Pakistan at Dhaka, 1997/98"
42,Mehrab Hossain,"India v Bangladesh at Mohali, 1998"
43,Morshed Ali Khan,"India v Bangladesh at Mohali, 1998"
44,Al Sahariar,"Bangladesh v Pakistan at Dhaka, 1998/99"
45,Manjural Islam,"Bangladesh v Pakistan at Dhaka, 1998/99"
46,Aminul Islam jnr,"Bangladesh v Kenya at Dhaka, 1998/99"
47,Mahbubur Rahman,"Bangladesh v Zimbabwe at Dhaka, 1998/99"
48,Neeyamur Rashid,"Bangladesh v Zimbabwe at Dhaka, 1998/99"
49,Ahmed Kamal,"Bangladesh v West Indies at Dhaka, 1999/00"
50,Mushfiqur Rahman,"Bangladesh v India at Dhaka, 2000"
51,Mohammad Sharif,"Zimbabwe v Bangladesh at Harare, 2000/01"
52,Mohammad Ashraful,"Zimbabwe v Bangladesh at Bulawayo, 2000/01"
53,Fahim Muntasir,"Bangladesh v Zimbabwe at Chittagong, 2001/02"
54,Mashrafe Mortaza,"Bangladesh v Zimbabwe at Chittagong, 2001/02"
55,Tushar Imran,"Bangladesh v Zimbabwe at Chittagong, 2001/02"
56,Tareq Aziz,"Bangladesh v Pakistan at Chittagong, 2001/02"
57,Alok Kapali,"Sri Lanka v Bangladesh at Colombo (SSC), 2002"
58,Tapash Baisya,"Sri Lanka v Bangladesh at Colombo (SSC), 2002"
59,Hannan Sarkar,"Sri Lanka v Bangladesh at Colombo (RPS), 2002"
60,Mazharul Haque,"Australia v Bangladesh at Colombo (SSC), 2002/03"
61,Talha Jubair,"Bangladesh v New Zealand at Colombo (SSC), 2002/03"
62,Anwar Hossain Monir,"South Africa v Bangladesh at Kimberley, 2002/03"
63,Rafiqul Islam,"South Africa v Bangladesh at Kimberley, 2002/03"
64,Ehsanul Haque,"Bangladesh v West Indies at Dhaka, 2002/03"
65,Anwar Hossain,"Bangladesh v West Indies at Dhaka, 2002/03"
66,Mohammad Salim,"Bangladesh v South Africa at Dhaka, 2003"
67,Rajin Saleh,"Pakistan v Bangladesh at Multan, 2003"
68,Jamaluddin Ahmed,"Bangladesh v England at Chittagong, 2003/04"
69,Manjural Islam Rana,"Bangladesh v England at Chittagong, 2003/04"
70,Nafees Iqbal,"Bangladesh v England at Chittagong, 2003/04"
71,Moniruzzaman,"Bangladesh v England at Dhaka, 2003/04"
72,Faisal Hossain,"West Indies v Bangladesh at St George's, 2004"
73,Abdur Razzak,"Bangladesh v Hong Kong at Colombo (SSC), 2004"
74,Aftab Ahmed,"Bangladesh v South Africa at Birmingham, 2004"
75,Nazmul Hossain,"Bangladesh v South Africa at Birmingham, 2004"
