cap_no,name,ground_year
1,SJ Cook,"India v South Africa at Kolkata, 1991/92"
2,AA Donald,"India v South Africa at Kolkata, 1991/92"
3,AC Hudson,"India v South Africa at Kolkata, 1991/92"
4,PN Kirsten,"India v South Africa at Kolkata, 1991/92"
5,AP Kuiper,"India v South Africa at Kolkata, 1991/92"
6,BM McMillan,"India v South Africa at Kolkata, 1991/92"
7,CEB Rice,"India v South Africa at Kolkata, 1991/92"
8,DJ Richardson,"India v South Africa at Kolkata, 1991/92"
9,TG Shaw,"India v South Africa at Kolkata, 1991/92"
10,RP Snell,"India v South Africa at Kolkata, 1991/92"
11,KC Wessels,"India v South Africa at Kolkata, 1991/92"
12,CE Eksteen,"India v South Africa at Gwalior, 1991/92"
13,CR Matthews,"India v South Africa at Gwalior, 1991/92"
14,M Yachad,"India v South Africa at Gwalior, 1991/92"
15,WJ Cronje,"Australia v South Africa at Sydney, 1991/92"
16,MW Pringle,"Australia v South Africa at Sydney, 1991/92"
17,JN Rhodes,"Australia v South Africa at Sydney, 1991/92"
18,T Bosch,"New Zealand v South Africa at Auckland, 1991/92"
19,O Henry,"South Africa v Sri Lanka at Wellington, 1991/92"
20,MW Rushmere,"South Africa v Sri Lanka at Wellington, 1991/92"
21,CJPG van Zyl,"West Indies v South Africa at Kingston, 1991/92"
22,DJ Callaghan,"South Africa v India at Cape Town, 1992/93"
23,PS de Villiers,"South Africa v India at Cape Town, 1992/93"
24,BN Schultz,"South Africa v India at Port Elizabeth, 1992/93"
25,DJ Cullinan,"South Africa v Pakistan at Durban, 1992/93"
26,ELR Stewart,"South Africa v Pakistan at East London, 1992/93"
27,PL Symcox,"Sri Lanka v South Africa at Kandy, 1993"
28,G Kirsten,"Australia v South Africa at Sydney, 1993/94"
29,DB Rundle,"Australia v South Africa at Brisbane, 1993/94"
30,EO Simons,"South Africa v Australia at Johannesburg, 1993/94"
31,DN Crookes,"Pakistan v South Africa at Karachi, 1994/95"
32,MJR Rindel,"South Africa v New Zealand at Cape Town, 1994/95"
33,SD Jack,"South Africa v Sri Lanka at Bloemfontein, 1994/95"
34,N Boje,"Zimbabwe v South Africa at Harare, 1995/96"
35,GFJ Liebenberg,"Zimbabwe v South Africa at Harare, 1995/96"
36,PJR Steyn,"Zimbabwe v South Africa at Harare, 1995/96"
37,PR Adams,"South Africa v England at Cape Town, 1995/96"
38,JH Kallis,"South Africa v England at Cape Town, 1995/96"
39,SM Pollock,"South Africa v England at Cape Town, 1995/96"
40,L Klusener,"South Africa v England at East London, 1995/96"
41,SJ Palframan,"South Africa v England at Port Elizabeth, 1995/96"
42,HH Gibbs,"Kenya v South Africa at Nairobi (Gym), 1996/97"
43,RE Bryson,"South Africa v Zimbabwe at Cape Town, 1996/97"
44,AM Bacher,"South Africa v India at Port Elizabeth, 1996/97"
45,LJ Koen,"South Africa v Australia at Port Elizabeth, 1996/97"
46,MV Boucher,"New Zealand v South Africa at Perth, 1997/98"
47,M Ntini,"New Zealand v South Africa at Perth, 1997/98"
48,S Elworthy,"South Africa v Pakistan at Durban, 1997/98"
49,R Telemachus,"South Africa v Pakistan at Durban, 1997/98"
50,M Hayward,"England v South Africa at Birmingham, 1998"
51,DM Benkenstein,"England v South Africa at Dhaka, 1998/99"
52,AC Dawson,"England v South Africa at Dhaka, 1998/99"
53,HS Williams,"South Africa v West Indies at East London, 1998/99"
54,AJ Hall,"South Africa v West Indies at Durban, 1998/99"
55,PV Mpitsang,"South Africa v West Indies at Bloemfontein, 1998/99"
56,HH Dippenaar,"India v South Africa at Nairobi (Gym), 1999/00"
57,PC Strydom,"South Africa v Zimbabwe at Johannesburg, 1999/00"
58,DJ Terbrugge,"South Africa v England at Bloemfontein, 1999/00"
59,ND McKenzie,"South Africa v Zimbabwe at Durban, 1999/00"
60,CM Willoughby,"Pakistan v South Africa at Sharjah, 1999/00"
61,N Pothas,"Pakistan v South Africa at Singapore, 2000"
62,S Abrahams,"South Africa v New Zealand at Cape Town, 2000/01"
63,JM Kemp,"South Africa v Sri Lanka at Bloemfontein, 2000/01"
64,JL Ontong,"West Indies v South Africa at Kingston, 2000/01"
65,A Nel,"West Indies v South Africa at Port of Spain, 2000/01"
66,CW Henderson,"Zimbabwe v South Africa at Bulawayo, 2001/02"
67,CK Langeveldt,"South Africa v Kenya at Kimberley, 2001/02"
68,GC Smith,"South Africa v Australia at Bloemfontein, 2001/02"
69,JC Kent,"South Africa v Australia at Durban, 2001/02"
70,RJ Peterson,"India v South Africa at Colombo (RPS), 2002/03"
71,M van Jaarsveld,"South Africa v Bangladesh at Benoni, 2002/03"
