cap_no,name,ground_year
1,IP Butchart,"Australia v Zimbabwe at Nottingham, 1983"
2,KM Curran,"Australia v Zimbabwe at Nottingham, 1983"
3,DAG Fletcher,"Australia v Zimbabwe at Nottingham, 1983"
4,JG Heron,"Australia v Zimbabwe at Nottingham, 1983"
5,VR Hogg,"Australia v Zimbabwe at Nottingham, 1983"
6,DL Houghton,"Australia v Zimbabwe at Nottingham, 1983"
7,AH Omarshah,"Australia v Zimbabwe at Nottingham, 1983"
8,GA Paterson,"Australia v Zimbabwe at Nottingham, 1983"
9,AJ Pycroft,"Australia v Zimbabwe at Nottingham, 1983"
10,PWE Rawson,"Australia v Zimbabwe at Nottingham, 1983"
11,AJ Traicos,"Australia v Zimbabwe at Nottingham, 1983"
12,RD Brown,"India v Zimbabwe at Leicester, 1983"
13,GE Peckover,"West Indies v Zimbabwe at Worcester, 1983"
14,EA Brandes,"New Zealand v Zimbabwe at Hyderabad (Deccan), 1987/88"
15,AC Waller,"New Zealand v Zimbabwe at Hyderabad (Deccan), 1987/88"
16,MP Jarvis,"Australia v Zimbabwe at Chennai, 1987/88"
17,KJ Arnott,"India v Zimbabwe at Mumbai, 1987/88"
18,MA Meman,"India v Zimbabwe at Mumbai, 1987/88"
19,KG Duers,"Sri Lanka v Zimbabwe at New Plymouth, 1991/92"
20,A Flower,"Sri Lanka v Zimbabwe at New Plymouth, 1991/92"
21,WR James,"Sri Lanka v Zimbabwe at New Plymouth, 1991/92"
22,ADR Campbell,"West Indies v Zimbabwe at Brisbane, 1991/92"
23,MG Burmester,"New Zealand v Zimbabwe at Napier, 1991/92"
24,DH Brain,"Zimbabwe v India at Harare, 1992/93"
25,GJ Crocker,"Zimbabwe v India at Harare, 1992/93"
26,CN Evans,"Zimbabwe v India at Harare, 1992/93"
27,GW Flower,"Zimbabwe v India at Harare, 1992/93"
28,MH Dekker,"Zimbabwe v New Zealand at Bulawayo, 1992/93"
29,SG Peall,"Zimbabwe v New Zealand at Bulawayo, 1992/93"
30,EA Essop-Adam,"Zimbabwe v New Zealand at Harare, 1992/93"
31,U Ranchod,"Zimbabwe v New Zealand at Harare, 1992/93"
32,GA Briant,"Pakistan v Zimbabwe at Sharjah, 1992/93"
33,JA Rennie,"South Africa v Zimbabwe at Bengaluru, 1993/94"
34,HH Streak,"South Africa v Zimbabwe at Bengaluru, 1993/94"
35,GJ Whittall,"Sri Lanka v Zimbabwe at Patna, 1993/94"
36,GK Bruk-Jackson,"Pakistan v Zimbabwe at Lahore, 1993/94"
37,GC Martin,"Zimbabwe v Sri Lanka at Harare, 1994/95"
38,PA Strang,"Australia v Zimbabwe at Perth, 1994/95"
39,SV Carlisle,"Zimbabwe v Pakistan at Harare, 1994/95"
40,BC Strang,"Zimbabwe v Pakistan at Harare, 1994/95"
41,HK Olonga,"Zimbabwe v South Africa at Harare, 1995/96"
42,SG Davies,"New Zealand v Zimbabwe at Auckland, 1995/96"
43,ACI Lock,"New Zealand v Zimbabwe at Wellington, 1995/96"
44,CB Wishart,"Australia v Zimbabwe at Colombo (RPS), 1996"
45,AR Whittall,"Sri Lanka v Zimbabwe at Colombo (SSC), 1996"
46,GB Brent,"Pakistan v Zimbabwe at Quetta, 1996/97"
47,GJ Rennie,"Pakistan v Zimbabwe at Quetta, 1996/97"
48,M Mbangwa,"Pakistan v Zimbabwe at Lahore, 1996/97"
49,EZ Matambanadzo,"Pakistan v Zimbabwe at Peshawar, 1996/97"
50,DP Viljoen,"Sri Lanka v Zimbabwe at Sharjah, 1996/97"
51,AG Huckle,"Bangladesh v Zimbabwe at Nairobi (Gym), 1997/98"
52,MW Goodwin,"Sri Lanka v Zimbabwe at Colombo (SSC), 1997/98"
53,TN Madondo,"Zimbabwe v India at Bulawayo, 1998/99"
54,ML Nkala,"Zimbabwe v India at Bulawayo, 1998/99"
55,NC Johnson,"New Zealand v Zimbabwe at Dhaka, 1998/99"
56,AM Blignaut,"West Indies v Zimbabwe at Singapore, 1999"
57,DT Mutendera,"Kenya v Zimbabwe at Nairobi (Gym), 1999/00"
