cap_no,name,ground_year
1,DS de Silva,"Sri Lanka v West Indies at Manchester, 1975"
2,ER Fernando,"Sri Lanka v West Indies at Manchester, 1975"
3,PD Heyn,"Sri Lanka v West Indies at Manchester, 1975"
4,LWS Kaluperuma,"Sri Lanka v West Indies at Manchester, 1975"
5,LRD Mendis,"Sri Lanka v West Indies at Manchester, 1975"
6,ARM Opatha,"Sri Lanka v West Indies at Manchester, 1975"
7,HSM Pieris,"Sri Lanka v West Indies at Manchester, 1975"
8,AN Ranasinghe,"Sri Lanka v West Indies at Manchester, 1975"
9,APB Tennekoon,"Sri Lanka v West Indies at Manchester, 1975"
10,MH Tissera,"Sri Lanka v West Indies at Manchester, 1975"
11,B Warnapura,"Sri Lanka v West Indies at Manchester, 1975"
12,SRD Wettimuny,"Australia v Sri Lanka at The Oval, 1975"
13,GRA de Silva,"Pakistan v Sri Lanka at Nottingham, 1975"
14,DLS de Silva,"New Zealand v Sri Lanka at Nottingham, 1979"
15,RL Dias,"New Zealand v Sri Lanka at Nottingham, 1979"
16,SA Jayasinghe,"New Zealand v Sri Lanka at Nottingham, 1979"
17,SP Pasqual,"New Zealand v Sri Lanka at Nottingham, 1979"
18,FRMD Gunatilleke,"India v Sri Lanka at Manchester, 1979"
19,RS Madugalle,"India v Sri Lanka at Manchester, 1979"
20,ALF de Mel,"Sri Lanka v England at Colombo (SSC), 1981/82"
21,RSA Jayasekera,"Sri Lanka v England at Colombo (SSC), 1981/82"
22,S Wettimuny,"Sri Lanka v England at Colombo (SSC), 1981/82"
23,HM Goonatilleke,"Sri Lanka v England at Colombo (SSC), 1981/82"
24,A Ranatunga,"Sri Lanka v England at Colombo (SSC), 1981/82"
25,JR Ratnayeke,"Pakistan v Sri Lanka at Karachi, 1981/82"
26,RGCE Wijesuriya,"Pakistan v Sri Lanka at Karachi, 1981/82"
27,VB John,"India v Sri Lanka at Amritsar, 1982/83"
28,RJ Ratnayake,"India v Sri Lanka at Bengaluru, 1982/83"
29,RG de Alwis,"New Zealand v Sri Lanka at Dunedin, 1982/83"
30,ERNS Fernando,"New Zealand v Sri Lanka at Dunedin, 1982/83"
31,Y Goonasekera,"New Zealand v Sri Lanka at Dunedin, 1982/83"
32,MD Wettimuny,"New Zealand v Sri Lanka at Dunedin, 1982/83"
33,S Jeganathan,"New Zealand v Sri Lanka at Auckland, 1982/83"
34,GN de Silva,"Sri Lanka v Australia at Colombo (SSC), 1982/83"
35,DSBP Kuruppu,"Sri Lanka v Australia at Colombo (SSC), 1982/83"
36,MAR Samarasekera,"Pakistan v Sri Lanka at Swansea, 1983"
37,PA de Silva,"Sri Lanka v New Zealand at Moratuwa, 1983/84"
38,SHU Karnain,"Sri Lanka v New Zealand at Moratuwa, 1983/84"
39,SAR Silva,"Sri Lanka v New Zealand at Colombo (PSS), 1984/85"
40,DM Vonhagt,"Australia v Sri Lanka at Perth, 1984/85"
41,FS Ahangama,"Pakistan v Sri Lanka at Lahore, 1985/86"
42,AP Gurusinha,"Pakistan v Sri Lanka at Hyderabad (Sind), 1985/86"
43,SD Anurasiri,"Sri Lanka v Pakistan at Kandy, 1985/86"
44,AM de Silva,"Sri Lanka v Pakistan at Kandy, 1985/86"
45,RS Mahanama,"Sri Lanka v Pakistan at Kandy, 1985/86"
46,KG Perera,"Sri Lanka v Pakistan at Kandy, 1985/86"
47,SK Ranasinghe,"Sri Lanka v Pakistan at Kandy, 1985/86"
48,KN Amalean,"Sri Lanka v Pakistan at Moratuwa, 1985/86"
49,CPH Ramanayake,"Sri Lanka v Pakistan at Moratuwa, 1985/86"
50,GF Labrooy,"India v Sri Lanka at Sharjah, 1986/87"
51,HP Tillakaratne,"India v Sri Lanka at Sharjah, 1986/87"
52,EAR de Silva,"India v Sri Lanka at Kanpur, 1986/87"
53,SMS Kaluperuma,"Australia v Sri Lanka at Sydney, 1987/88"
54,MAWR Madurasinghe,"England v Sri Lanka at The Oval, 1988"
55,KIW Wijegunawardene,"Pakistan v Sri Lanka at Dhaka, 1988/89"
56,NLK Ratnayake,"Pakistan v Sri Lanka at Sharjah, 1988/89"
57,TL Fernando,"Australia v Sri Lanka at Margao, 1989/90"
